Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,EBIDT last year,High price all time,DMA 200,Down from 52w high,Debt,Promoter holding,Profit after tax latest quarter,YOY Quarterly profit growth,Profit after tax preceding year quarter,Profit after tax preceding quarter,QoQ Profits,Expected quarterly net profit,Net profit 2quarters back,Net profit 3quarters back,Pledged percentage,Price to Earning,Expected quarterly sales,Expected quarterly sales growth,Sales,Sales growth,YOY Quarterly sales growth,Net Profit latest quarter,Profit after tax,Return on capital employed,Return on equity,Profit growth,NPM latest quarter,Mkt Cap To Debt Cap,Cash from operations last year,Cash from operations preceding year,DMA 200 previous day,Expected quarterly operating profit,Expected quarterly EPS,RSI,Cash end of preceding year,CROIC,Cash end of last year,Reserves,Investments,Current assets,EVEBITDA,Price to book value,Sales latest quarter,Number of Shareholders,Number of Shareholders preceding quarter,Number of Shareholders 1year back,FII holding,DII holding,Public holding,Cash Equivalents
360 ONE,542772,360ONE,INE466L01038,Capital Markets,Stockbroking & Allied,1203.00,49079.73,2822.12,1318.00,1102.19,2.69,15931.31,6.20,330.53,16.11,284.67,288.74,14.47,535.81,327.28,315.48,0.00,38.89,1511.19,37.62,4621.10,36.82,34.52,330.53,1262.03,12.12,14.39,19.48,26.96,-3.14,-2921.06,-2462.17,1101.18,945.11,13.17,62.82,1091.58,-9.24,1481.59,9794.94,8842.44,3261.14,21.12,4.97,1226.09,76687.00,74294.00,68603.00,58.55,18.70,16.53,1481.59
3M India,523395,3MINDIA,INE470A01017,Diversified,Diversified,33550.00,37887.52,1033.73,41000.00,33463.09,12.40,169.75,75.00,176.95,-0.42,177.69,185.37,8.23,250.13,-62.05,191.34,0.00,85.93,1478.10,16.71,5316.99,15.71,19.00,233.07,440.89,50.01,29.98,-11.22,12.43,6.68,513.72,355.11,33462.21,273.40,222.04,35.58,937.38,23.51,817.78,1756.88,0.00,2542.38,36.24,21.38,1423.21,30673.00,29808.00,34588.00,3.50,8.16,13.33,817.78
63 Moons Tech.,526881,63MOONS,INE111B01023,IT - Software,Computers - Software & Consulting,770.80,3551.29,-98.81,3048.00,714.86,23.51,2.85,45.63,-39.68,-203.60,-13.07,-54.65,-289.18,,-31.73,-44.70,0.00,,,541.89,318.30,384.84,350.44,-47.56,-143.00,-3.71,-1.60,-76.91,-34.67,-3.38,-292.97,-142.78,714.29,,,46.96,1925.25,-4.21,1676.78,3542.62,583.27,2322.90,-12.96,1.00,137.16,44996.00,45869.00,46045.00,1.61,0.00,52.75,1676.78
A B B,500002,ABB,INE117A01022,Electrical Equipment,Heavy Electrical Equipment,7479.00,159128.78,2397.26,9200.00,6565.01,5.62,144.52,75.00,370.07,8.03,342.55,341.91,-79.69,469.04,432.85,409.04,0.00,103.25,3712.31,12.13,13476.81,10.22,21.03,362.30,1541.25,29.93,22.39,-13.03,10.40,12.02,1219.52,1331.80,6555.83,516.29,22.14,50.44,5507.82,14.47,5834.87,9297.10,1.56,13764.99,67.96,16.97,3558.87,183577.00,181528.00,182397.00,7.67,9.89,7.44,7335.52
A B Lifestyle,544403,ABLBL,INE14LE01019,Retailing,Speciality Retail,86.50,10553.87,1444.28,176.10,108.27,42.84,3018.10,46.60,29.02,20.62,24.06,60.50,-46.77,52.66,69.01,23.44,0.00,49.44,2248.61,10.34,8600.97,9.07,11.15,29.02,213.47,15.02,14.87,31.53,1.42,,1218.81,1144.17,108.49,352.99,0.43,28.61,53.65,,91.51,191.66,16.34,4565.34,9.17,7.48,2045.74,262354.00,266973.00,297575.00,12.70,20.80,19.42,91.51
A B Real Estate,500040,ABREL,INE055A01016,Realty,"Residential, Commercial Projects",1445.50,16138.09,-340.56,3141.95,1464.80,26.79,5636.49,50.21,-70.92,-59.41,-44.49,-102.21,-741.74,-110.55,-75.31,-17.82,0.00,,87.69,-10.38,450.47,-55.45,29.74,-34.59,-319.61,-4.48,-2.64,-249.75,-35.46,-10.06,747.23,-1293.44,1464.99,-68.87,-9.90,60.01,1000.62,-4.55,1398.76,3589.13,1511.65,13627.49,-61.81,4.36,188.85,95594.00,96982.00,105295.00,9.26,16.63,23.14,1398.76
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,474.95,20657.53,2818.86,563.00,487.79,15.64,18743.78,64.66,282.36,19.00,237.28,310.92,-9.19,420.21,281.21,266.47,0.00,17.91,1055.67,17.67,3817.29,17.72,17.06,282.36,1153.40,11.38,15.94,21.54,28.44,-0.79,-2807.88,-3026.65,487.91,803.04,9.60,34.64,1723.38,-11.48,1214.68,7105.19,637.46,1784.06,13.06,2.74,992.89,162826.00,184772.00,202739.00,5.80,9.92,19.61,1214.68
Aarti Drugs,524348,AARTIDRUGS,INE767A01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,414.75,3784.96,311.58,1026.95,401.17,22.41,576.64,54.43,51.68,-4.14,53.91,55.19,-9.28,65.67,40.55,45.16,2.50,19.64,732.18,12.16,2677.58,10.54,19.01,50.13,192.69,11.90,13.36,2.04,7.35,1.43,253.54,244.58,401.04,94.36,7.19,51.60,7.56,4.55,8.81,1457.59,27.31,1467.77,12.95,2.44,702.78,143476.00,144946.00,160260.00,1.52,10.29,33.76,8.81
Aarti Industries,524208,AARTIIND,INE769A01020,Chemicals & Petrochemicals,Specialty Chemicals,520.05,18868.97,1172.00,1060.84,454.87,4.05,4966.00,41.82,153.28,256.47,43.00,137.00,13.14,160.25,133.00,106.00,3.49,36.13,2717.30,29.40,9010.00,26.99,42.51,155.00,522.28,6.85,7.13,122.25,6.42,1.49,775.00,1241.94,454.21,403.84,4.42,58.57,294.97,-1.90,609.00,5774.00,132.00,4187.00,17.32,3.17,2387.00,370868.00,384210.00,425399.00,7.00,21.11,30.08,609.00
Aarti Pharma,543748,AARTIPHARM,INE0LRU01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,829.25,7514.67,386.95,971.50,726.34,12.38,754.36,42.86,76.14,53.82,49.50,61.12,24.57,59.83,47.96,27.92,11.08,34.91,473.54,13.20,1969.04,1.20,38.74,76.14,215.27,10.70,8.59,-19.21,14.21,2.96,261.93,331.56,725.31,102.06,6.60,61.77,8.65,-3.55,9.62,2079.28,193.85,1397.29,18.29,3.54,535.80,176506.00,179373.00,187039.00,8.17,7.22,41.74,9.62
AAVAS Financiers,541988,AAVAS,INE216P01012,Finance,Housing Finance Company,1364.90,10801.44,1978.39,3340.00,1438.19,23.10,15685.57,48.88,171.27,23.01,139.23,181.67,-5.72,252.69,170.05,163.93,0.00,15.72,753.54,12.97,2764.62,13.32,12.93,171.27,686.92,9.92,13.92,16.97,24.17,-0.53,-1386.42,-1660.13,1438.92,557.76,31.87,41.68,1559.63,-8.78,1843.30,4971.56,270.81,2368.93,12.07,2.14,708.72,113498.00,117980.00,121862.00,16.28,22.15,12.69,1843.30
Abbott India,500488,ABBOTINDIA,INE358A01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,26120.00,55515.52,2176.08,37000.00,27563.03,20.73,171.99,74.99,428.52,17.13,365.86,394.93,8.51,500.45,375.96,415.27,0.00,34.38,1858.87,5.79,7004.38,6.29,4.33,428.52,1614.68,44.80,34.35,11.18,23.63,4.12,1319.24,1011.84,27577.53,527.86,235.51,32.12,1626.20,24.40,2254.95,4752.94,0.00,3770.69,23.65,11.63,1813.68,78320.00,75866.00,67584.00,0.38,8.77,15.85,2254.95
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1301.10,24419.73,3366.76,2844.00,1509.29,34.52,428.61,56.69,163.92,-56.33,375.38,239.29,-38.31,379.29,404.25,1119.26,0.00,12.85,6517.50,8.54,25441.73,11.55,-4.59,147.00,1899.74,11.25,10.86,-18.63,2.82,1.98,-1364.01,1711.48,1511.39,695.92,20.20,37.73,1649.27,-1.65,557.73,20362.55,54.95,11372.89,8.04,1.19,5808.00,238540.00,235988.00,219069.00,5.83,21.12,16.19,557.73
ACME Solar Hold.,544283,ACMESOLAR,INE622W01025,Power,Power Generation,397.40,28094.88,2265.04,406.65,306.14,2.27,19896.29,71.40,235.33,64.83,142.77,134.46,70.15,106.30,113.70,115.06,0.00,47.18,705.93,50.92,2369.90,47.52,67.81,235.33,595.44,8.89,10.38,45.44,27.44,1.74,1248.59,1543.02,305.22,609.25,1.50,65.38,2916.03,-11.80,6158.09,4940.40,275.00,6985.74,16.31,4.76,857.50,143209.00,164635.00,197223.00,4.39,19.10,4.92,6158.09
Action Const.Eq.,532762,ACE,INE731H01025,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,1164.40,13863.12,614.01,1695.00,986.85,2.64,7.90,65.42,119.49,22.28,97.72,110.91,7.74,108.97,116.41,90.06,0.00,31.73,813.81,9.35,3414.04,5.21,20.49,119.49,436.86,31.70,22.90,3.34,15.21,3.38,417.27,411.98,985.07,122.96,9.15,63.51,55.47,14.70,77.20,1987.17,1283.46,1624.29,21.47,6.90,785.68,183575.00,181542.00,171647.00,7.82,2.59,24.12,77.20
Acutaas Chemical,543349,ACUTAAS,INE00FF01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,3210.50,26283.10,521.98,3740.00,2582.02,14.16,35.60,32.66,74.26,67.67,44.29,131.76,-44.15,141.80,106.22,71.86,0.00,68.05,447.67,46.20,1461.80,40.90,59.08,74.99,386.22,31.56,24.05,104.30,22.75,17.84,292.17,118.34,2575.70,155.01,17.15,46.35,248.93,-5.79,224.83,1612.63,0.20,881.27,45.78,15.90,329.67,125569.00,112939.00,119890.00,21.61,19.55,26.16,224.83
Adani Energy Sol,539254,ADANIENSOL,INE931S01010,Power,Power Distribution,1548.50,189460.57,8670.33,4238.55,1297.73,13.44,49176.43,73.39,1149.06,124.22,512.48,683.78,71.11,792.88,574.06,557.10,0.00,64.90,8441.66,27.98,30479.83,20.91,42.41,1236.56,2919.12,9.65,9.44,21.81,12.73,2.23,10996.68,9044.51,1295.21,2536.16,6.02,37.82,3618.68,-1.52,3947.34,24226.26,2643.61,15589.44,23.74,7.32,9711.08,376377.00,403625.00,500926.00,10.31,13.05,3.26,3947.34
Adani Enterp.,512599,ADANIENT,INE423A01024,Metals & Minerals Trading,Trading - Minerals,2994.90,406876.17,16111.93,4062.14,2630.61,7.71,106621.79,71.97,568.16,-35.82,885.23,-104.93,-776.28,-15.86,5726.57,3414.43,0.79,171.39,27518.81,29.51,111431.39,18.06,49.92,-1461.54,2373.98,5.80,-3.38,-36.42,2.17,4.50,2356.91,4513.10,2626.95,4079.39,-0.09,45.33,6962.46,-13.17,11809.42,80796.71,9428.37,58452.04,27.39,4.78,32923.98,588595.00,664882.00,621739.00,10.51,10.75,6.78,11809.42
Adani Green,541450,ADANIGREEN,INE364U01010,Power,Power Generation,1301.80,214928.07,12093.00,3050.00,1237.79,20.21,103545.00,62.43,846.34,16.89,724.08,468.79,91.25,41.53,5.00,644.00,0.00,110.85,3423.22,13.80,13559.00,10.98,16.61,983.00,1938.87,7.39,11.40,4.37,22.22,2.35,10135.00,8364.00,1237.15,2983.80,0.22,33.44,3332.00,-11.37,2766.00,18318.00,2983.00,9834.00,25.00,10.74,4431.00,799143.00,930970.00,989821.00,11.84,4.82,20.90,2766.00
Adani Ports,532921,ADANIPORTS,INE742F01042,Transport Infrastructure,Port & Port services,1696.00,391309.84,25205.01,1891.80,1617.59,10.35,63565.52,66.03,3620.40,9.23,3314.59,3381.29,10.31,3510.47,3042.93,3120.20,0.00,29.45,11241.10,22.62,40430.43,23.85,18.57,3649.50,13287.46,14.12,16.38,16.78,33.73,2.09,20356.25,17226.28,1616.80,6516.91,15.12,43.39,6605.97,5.24,8483.51,95497.98,5448.65,20720.18,16.92,4.07,10820.80,1072323.00,1095768.00,1185335.00,15.58,13.60,4.79,8483.51
Adani Power,533096,ADANIPOWER,INE814H01029,Power,Integrated Power Utilities,204.00,394025.79,23359.36,254.20,185.97,19.75,54670.29,74.96,4805.69,41.98,3384.86,4017.08,13.93,3809.84,2488.09,2906.46,1.81,27.64,15478.97,15.03,59033.26,6.64,33.97,4866.60,14255.13,17.22,21.07,14.86,25.75,2.11,20513.65,21501.11,185.79,5964.91,1.95,37.44,6119.88,5.71,6926.32,61079.94,1515.99,27196.73,17.14,6.06,18901.89,2116256.00,2087011.00,1814142.00,11.76,4.07,9.20,6926.32
Adani Total Gas,542066,ATGL,INE399L01023,Gas,LPG/CNG/PNG/LNG Supplier,657.65,72372.59,1220.64,4000.00,640.80,23.52,2251.76,74.80,133.03,-17.97,162.17,155.84,-14.64,212.28,157.19,161.68,0.00,119.08,1748.21,21.07,6235.29,19.58,27.10,133.03,607.74,15.09,14.06,-4.01,7.63,6.19,1150.00,980.33,640.63,320.17,1.93,44.26,459.82,3.15,502.99,4714.03,1927.53,1112.51,61.48,14.99,1743.48,596758.00,636149.00,632842.00,12.77,6.34,6.07,502.99
ADF Foods,519183,ADFFOODS,INE982B01027,Food Products,Packaged Foods,267.35,2945.60,149.75,353.95,252.86,22.94,55.07,36.14,17.29,13.45,15.24,25.91,-33.27,32.00,22.38,26.39,0.00,30.44,201.10,23.67,717.64,19.44,25.90,17.29,96.77,21.82,17.66,38.03,10.34,4.72,57.59,37.42,252.72,39.21,2.91,42.90,66.01,1.48,72.39,549.58,14.52,426.80,18.90,5.14,167.29,39264.00,40319.00,41436.00,11.59,21.30,30.99,72.39
Aditya AMC,543374,ABSLAMC,INE404A01024,Capital Markets,Asset Management Company,995.40,28824.91,1319.11,1224.90,968.12,18.74,63.73,74.72,309.49,11.68,277.11,187.11,65.41,272.02,269.52,241.32,0.00,28.55,488.13,5.81,1860.59,6.59,3.48,309.49,1009.56,32.23,25.15,3.86,66.85,3.60,811.93,708.48,967.84,286.43,9.40,39.62,103.41,17.71,139.02,3897.26,3946.15,348.20,21.21,7.11,462.96,236462.00,244638.00,271241.00,4.41,14.26,6.58,139.02
Aditya Bir. Fas.,535755,ABFRL,INE647O01011,Retailing,Speciality Retail,54.75,6700.75,883.23,129.13,66.20,42.34,6189.11,46.61,-215.24,-1.54,-211.98,-138.77,-51.84,-369.91,-137.30,-295.09,0.00,,2212.29,11.64,8371.01,11.44,10.60,-248.73,-746.75,-3.76,-13.63,-10.31,-12.28,0.56,160.75,1681.33,66.32,132.39,-2.62,35.90,773.06,3.83,480.51,4618.52,1240.33,4836.40,12.87,1.14,2025.56,368478.00,369727.00,393518.00,12.87,5.69,34.52,480.51
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,409.00,111733.55,17253.78,430.70,352.21,5.04,179537.75,68.81,1174.70,40.07,838.63,1001.55,16.93,1485.76,965.85,882.47,0.00,27.76,12709.81,19.96,48185.84,16.33,28.17,1223.85,4024.83,8.72,12.04,18.14,10.05,-0.38,-36544.12,-27934.63,351.64,4848.43,5.21,53.90,6003.28,-15.40,4729.98,31803.50,125116.15,12407.64,15.69,3.11,12179.54,513052.00,522128.00,560382.00,7.94,13.36,9.77,4729.98
Aditya Infotech,544466,CPPLUS,INE819V01029,Industrial Manufacturing,Industrial Products,3468.60,40984.68,578.78,4094.50,2514.47,15.29,256.34,74.71,142.20,332.48,32.88,169.13,-15.92,179.87,95.98,69.98,0.00,85.87,1493.39,62.39,4883.20,51.85,89.51,142.20,477.29,28.56,25.41,214.81,10.14,-405.49,13.47,27.21,2504.88,204.06,15.20,47.66,181.87,-5.56,199.59,1865.08,0.73,3032.14,56.86,21.77,1402.42,58182.00,36773.00,,6.35,13.61,5.34,199.59
Aditya Vision,540205,AVL,INE679V01027,Retailing,Speciality Retail,611.00,7887.73,239.03,705.00,548.30,13.33,572.80,47.14,77.22,39.99,55.16,21.73,255.36,30.01,27.31,12.72,0.00,56.29,581.21,27.04,2924.07,26.52,26.85,77.22,140.12,17.08,18.71,30.26,6.47,40.90,74.95,-40.82,547.67,51.07,2.32,45.35,121.35,-2.23,128.65,675.51,0.00,1079.23,30.52,11.46,1192.68,33586.00,33945.00,29458.00,15.05,21.67,16.13,128.65
Ador Welding,517041,ADOR,INE045A01017,Industrial Products,Other Industrial Products,1684.00,2935.93,142.51,1770.00,1179.87,1.05,2.95,53.76,27.35,890.46,-3.46,35.32,-18.43,33.81,27.10,25.62,0.00,24.52,313.08,11.81,1193.54,8.58,23.19,27.35,119.74,22.71,16.42,106.13,8.86,3.32,116.73,139.14,1174.80,39.85,19.43,74.40,66.88,12.94,92.39,546.47,47.32,508.75,15.60,5.20,308.63,35275.00,35567.00,38889.00,1.05,10.47,34.72,92.39
Advait Energy,543230,ADVAIT,INE0ALI01010,Electrical Equipment,Other Electrical Equipment,2115.40,2316.70,96.51,2485.70,1951.54,14.90,95.25,66.76,13.89,65.95,8.37,17.67,-22.43,26.68,17.39,10.17,0.00,40.12,263.82,68.18,775.37,69.89,51.37,14.80,57.75,27.91,21.53,70.61,8.26,17.90,-9.68,46.47,1949.90,32.53,22.88,43.57,96.06,-10.53,115.91,267.18,24.10,442.11,21.55,8.32,179.27,33709.00,33066.00,29389.00,0.68,0.04,32.51,115.91
Advanced Enzyme,540025,ADVENZYMES,INE837H01020,Pharmaceuticals & Biotechnology,Biotechnology,303.00,3391.76,265.10,571.15,323.11,27.82,32.01,43.25,37.09,-7.11,39.93,42.87,-14.72,49.01,43.18,44.74,0.00,21.52,204.19,10.66,749.64,12.17,2.09,38.59,157.60,13.96,10.16,15.13,20.33,1.93,156.78,142.50,323.31,60.75,4.21,40.98,107.69,6.36,115.93,1609.57,583.89,459.75,12.60,2.08,189.79,63599.00,66193.00,67589.00,26.70,4.77,25.28,115.93
Aegis Logistics,500003,AEGISLOG,INE208C01025,Gas,Trading - Gas,1336.20,46912.66,1750.29,1498.00,929.10,10.80,4149.93,58.10,484.44,268.90,131.32,410.37,19.85,532.66,232.63,244.02,0.00,37.49,3123.90,36.18,8970.66,30.35,37.07,544.84,1251.27,13.33,16.27,88.67,23.12,4.84,2027.69,558.19,925.00,664.29,13.49,54.45,3190.88,2.49,4194.54,6019.92,1744.91,5093.12,20.41,7.75,2356.86,77194.00,78190.00,84323.00,19.54,3.60,18.77,4194.54
Aegis Vopak Term,544407,AEGISVOPAK,INE0INX01018,Oil,Oil Storage & Transportation,266.60,29632.29,723.98,311.50,239.67,14.41,3730.93,86.94,66.08,-6.96,71.02,68.64,-6.02,78.53,89.04,53.93,0.00,109.42,232.57,23.95,904.26,26.06,12.39,69.42,270.81,7.56,11.02,42.89,29.70,6.63,701.96,576.33,239.40,173.90,0.67,43.74,725.27,0.58,306.88,3182.58,0.00,735.25,47.98,6.88,233.77,50411.00,48956.00,57139.00,5.35,5.30,2.41,306.88
Aequs,544634,AEQUS,INE947N01017,Aerospace & Defense,Aerospace & Defense,260.09,17446.67,168.91,274.60,188.41,5.28,700.93,59.09,-53.23,-1457.91,3.92,-57.45,0.91,,-42.68,-20.59,0.00,,,,1370.41,33.08,54.77,-53.23,-164.05,1.69,-9.96,-73.70,-13.46,,-98.75,26.14,187.69,,,64.19,79.79,-15.43,356.65,815.82,105.57,1345.24,119.15,11.73,395.55,53564.00,40774.00,,5.17,8.85,24.62,356.65
Aeroflex,543972,AEROFLEX,INE024001021,Industrial Products,Iron & Steel Products,475.30,6288.35,101.70,521.90,329.77,8.93,8.90,65.47,18.79,162.06,7.17,17.64,6.52,28.71,16.49,14.23,0.00,93.65,164.22,48.12,502.98,35.64,72.39,18.79,67.15,18.92,14.07,42.06,12.92,14.31,65.84,26.58,328.31,38.27,2.17,60.02,26.75,-6.42,69.65,420.81,0.01,322.71,52.17,14.06,145.38,109759.00,97254.00,117540.00,3.61,1.48,29.45,69.65
Aether Industri.,543534,AETHER,INE0BWX01014,Chemicals & Petrochemicals,Specialty Chemicals,1634.40,21702.38,384.57,1692.00,1171.17,3.40,457.94,74.92,62.75,27.98,49.03,55.06,16.18,88.11,64.48,53.96,0.00,90.45,369.82,32.03,1230.56,34.44,27.25,62.75,239.93,11.92,9.66,30.35,19.22,40.56,142.38,100.09,1166.51,116.02,6.64,65.67,239.78,-14.81,5.66,2323.21,0.21,1171.47,53.80,8.83,326.56,65336.00,65562.00,72628.00,7.42,10.49,7.17,5.66
Afcom Holdings,544224,,INE0OXY01013,Transport Services,Logistics Solution Provider,1547.95,4444.72,238.14,1587.00,1040.04,2.46,375.59,35.84,39.24,86.06,21.09,44.66,-12.14,,34.45,28.39,0.00,30.29,,,640.40,144.27,48.12,39.24,146.74,33.49,36.01,160.47,22.28,30.63,35.99,27.38,1034.93,,,62.69,0.09,-1.42,62.06,660.68,0.00,535.56,18.35,6.44,176.10,6978.00,6454.00,3672.00,0.68,7.96,55.52,153.30
Afcons Infrastr.,544280,AFCONS,INE101I01011,Construction,Civil Construction,280.20,10305.32,1614.44,570.00,332.30,41.55,3626.91,50.17,30.60,-77.73,137.40,-88.40,134.22,-19.42,96.81,105.08,100.00,50.29,2541.55,-14.95,11249.00,-11.87,-20.75,30.30,204.90,13.91,5.61,-61.53,1.13,1.81,-127.49,-132.20,332.82,243.56,-0.53,49.01,770.56,-3.74,885.89,5082.02,0.54,12953.97,9.23,1.89,2671.00,240266.00,237539.00,266041.00,12.15,20.07,17.62,885.89
Affle 3i,542752,AFFLE,INE00WC01027,IT - Services,IT Enabled Services,1729.50,24361.79,688.30,2186.80,1572.29,20.91,14.81,54.91,128.44,21.74,105.50,119.51,7.47,137.20,119.32,110.51,0.00,50.99,776.11,20.01,2835.73,19.78,20.37,128.44,477.78,16.84,13.79,19.21,17.19,5.88,502.35,425.99,1570.71,174.68,9.74,62.95,1391.70,7.01,1294.07,3624.09,113.87,2639.62,31.88,6.67,747.16,243769.00,240775.00,261724.00,15.37,18.77,10.82,1294.07
AGI Greenpac,500187,AGI,INE415A01038,Industrial Products,Packaging,711.65,4608.11,690.42,1307.90,680.59,26.41,241.04,60.39,99.58,12.08,88.85,115.60,-13.86,98.44,71.64,76.12,0.00,12.52,644.74,7.17,2762.93,4.26,14.19,99.58,368.03,19.60,15.80,5.74,12.68,0.80,572.03,428.55,680.28,149.82,15.22,54.41,363.70,8.60,84.13,2394.93,100.02,1105.36,6.82,1.91,785.27,58757.00,57390.00,53546.00,6.26,1.06,32.26,84.13
AGI Infra,539042,AGIIL,INE976R01033,Realty,"Residential, Commercial Projects",293.70,3671.18,132.69,434.40,307.79,32.39,185.61,71.29,27.52,37.53,20.01,26.69,3.18,24.55,26.11,22.05,0.00,35.86,88.74,4.03,357.36,3.93,5.27,27.54,102.37,20.11,24.98,41.67,28.56,6.62,-32.38,-19.91,307.93,34.42,1.96,31.66,27.57,-5.57,98.45,452.30,0.00,1269.38,26.17,7.90,96.44,11736.00,9169.00,6119.00,4.68,0.01,24.02,98.45
Ahluwalia Contr.,532811,AHLUCONT,INE758C01029,Construction,Civil Construction,693.50,4647.59,507.56,1542.45,846.60,35.66,73.14,55.32,10.39,-79.71,51.21,82.02,-87.33,56.81,54.06,78.57,0.00,20.65,1309.81,11.26,4686.13,12.00,12.03,10.39,225.04,20.45,13.78,1.18,0.92,1.47,281.13,359.43,848.14,104.18,8.48,25.83,964.35,5.52,817.46,2045.51,0.00,3179.12,8.34,2.26,1125.81,34624.00,36498.00,37376.00,14.05,22.32,8.32,817.46
AIA Engineering,532683,AIAENG,INE212H01026,Industrial Products,Castings & Forgings,4357.60,40662.04,1744.26,5180.00,4128.33,15.88,10.27,58.50,301.11,-1.28,305.02,393.27,-23.48,279.34,292.95,277.48,0.00,32.05,1132.64,8.10,4548.94,5.63,12.42,300.99,1268.78,21.09,17.02,14.70,25.77,4.67,591.50,1162.31,4126.02,311.39,29.93,36.98,437.54,9.53,223.86,8006.68,4302.08,7096.24,23.13,5.07,1168.02,58979.00,59500.00,55456.00,16.87,22.10,2.54,223.86
Aimtron,,AIMTRON,INE0RUV01018,Industrial Manufacturing,Industrial Products,1681.60,3504.68,69.25,1780.00,1092.16,5.53,55.30,70.90,25.69,77.79,14.45,20.29,26.61,,,,0.00,76.24,,,301.16,89.21,75.94,25.69,45.97,28.15,23.60,79.36,14.39,,-39.96,-18.67,1086.24,,,63.49,35.58,-17.41,13.88,213.98,0.00,355.05,51.21,14.77,178.58,4993.00,4243.00,3832.00,0.22,2.17,26.72,13.88
Ajanta Pharma,532331,AJANTPHARM,INE031B01049,Pharmaceuticals & Biotechnology,Pharmaceuticals,3658.60,45639.76,1661.56,3796.95,3048.55,3.64,260.17,63.49,334.22,30.89,255.34,266.70,25.32,362.38,273.77,260.19,22.53,40.22,1651.29,21.98,5776.17,20.19,24.82,334.22,1134.88,34.51,27.14,22.04,20.56,4.77,529.19,1157.23,3042.42,417.07,29.00,64.39,176.24,12.80,104.77,4502.02,588.35,3175.58,27.20,10.10,1625.96,65296.00,67955.00,68882.00,7.68,21.80,7.03,104.77
Ajax Engineering,544356,AJAXENGG,INE274Y01021,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,566.40,6492.60,314.98,756.75,562.54,22.25,1.84,80.00,55.60,5.14,52.88,94.96,-41.45,49.84,38.24,39.07,0.00,28.21,450.48,1.27,2110.62,1.89,1.73,55.60,230.17,23.86,17.85,-6.43,11.72,2.90,377.29,42.72,562.50,52.54,4.36,47.66,67.48,14.51,168.89,1380.78,951.69,1439.56,19.87,4.65,474.60,69540.00,72001.00,94515.00,4.67,11.17,4.17,168.89
Ajmera Realty,513349,AJMERA,INE298G01035,Realty,"Residential, Commercial Projects",119.07,2347.48,306.33,291.04,140.52,46.22,711.23,68.56,43.06,12.49,38.28,55.60,-23.22,79.40,27.87,31.24,0.02,15.19,405.56,85.16,1148.89,43.14,22.65,44.94,154.57,14.28,11.50,16.39,14.18,2.55,68.63,7.55,140.73,111.94,3.87,42.79,101.40,4.08,86.99,1359.11,119.83,2236.87,9.25,1.68,316.97,27336.00,25013.00,27784.00,0.95,0.82,29.69,86.99
Akums Drugs,544222,AKUMS,INE09XN01023,Pharmaceuticals & Biotechnology,Pharmaceuticals,752.90,11864.37,650.74,1175.90,570.09,2.91,157.43,75.26,100.01,57.55,63.48,85.82,24.15,74.64,67.68,42.69,0.00,38.89,1134.00,11.45,4501.62,9.18,13.93,100.98,305.07,14.94,8.45,-7.42,8.66,2.02,1181.20,465.20,568.25,139.68,4.70,66.21,576.45,13.77,1680.60,3282.73,0.14,3559.86,14.77,3.58,1166.63,70289.00,72589.00,69424.00,1.91,13.44,6.67,1680.60
Alembic,506235,ALEMBICLTD,INE426A01027,Realty,"Residential, Commercial Projects",91.63,2345.20,158.25,169.00,92.73,16.63,10.64,70.88,64.89,5.27,61.64,67.13,-3.34,17.73,60.13,128.49,0.00,7.31,59.77,7.01,238.98,8.21,-2.03,64.89,320.64,6.07,13.02,1.31,133.14,3.75,120.07,86.37,92.74,21.71,0.69,57.82,4.37,0.63,3.29,2393.73,1974.15,100.61,14.55,0.96,48.74,101238.00,102008.00,107510.00,1.25,0.06,27.82,3.29
Alembic Pharma,533573,APLLTD,INE901L01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,814.10,16009.06,1174.90,1303.90,809.86,18.43,1429.94,69.87,173.07,12.11,154.38,220.93,-14.47,217.74,131.95,183.71,0.00,21.45,2215.15,15.97,7783.95,14.12,25.66,172.36,746.18,12.64,13.45,25.81,8.02,2.17,782.73,87.96,809.82,342.72,11.08,47.59,90.10,1.53,202.70,5635.50,140.88,4542.59,13.98,2.82,2149.77,86796.00,86432.00,89013.00,4.17,15.93,10.00,202.70
