Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,EBIDT last year,High price all time,DMA 200,Down from 52w high,Debt,Promoter holding,Profit after tax latest quarter,YOY Quarterly profit growth,Profit after tax preceding year quarter,Profit after tax preceding quarter,QoQ Profits,Expected quarterly net profit,Net profit 2quarters back,Net profit 3quarters back,Pledged percentage,Price to Earning,Expected quarterly sales,Expected quarterly sales growth,Sales,Sales growth,YOY Quarterly sales growth,Net Profit latest quarter,Profit after tax,Return on capital employed,Return on equity,Profit growth,NPM latest quarter,Mkt Cap To Debt Cap,Cash from operations last year,Cash from operations preceding year,DMA 200 previous day,Expected quarterly operating profit,Expected quarterly EPS,RSI,Cash end of preceding year,CROIC,Cash end of last year,Reserves,Investments,Current assets,EVEBITDA,Price to book value,Sales latest quarter,Number of Shareholders,Number of Shareholders preceding quarter,Number of Shareholders 1year back,FII holding,DII holding,Public holding,Cash Equivalents
National High,543385,NHIT,INE0H7R23014,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",168.00,32539.09,3494.42,172.00,151.68,2.33,25090.72,,234.50,93.05,121.47,204.55,14.64,249.80,247.41,112.09,4.59,40.75,1578.30,57.59,4563.19,61.64,28.27,234.50,798.55,4.42,3.00,110.83,17.88,124.28,3820.36,2098.67,151.52,1258.56,1.29,49.17,465.61,-24.51,687.28,-2387.92,0.00,1016.14,15.33,1.38,1311.87,,,,,,,906.44
Natl. Aluminium,532234,NATIONALUM,INE139A01034,Non - Ferrous Metals,Aluminium,385.60,71290.81,8593.75,445.15,345.81,13.38,59.83,51.28,2003.14,90.87,1049.48,1722.44,16.30,2153.80,1595.15,1429.94,0.00,10.56,4983.81,16.11,19338.49,9.02,39.28,2003.14,6750.67,39.59,29.42,17.83,37.78,1.44,6437.97,5806.11,345.41,2369.63,11.73,55.50,5426.73,17.03,8407.74,20685.39,533.49,11327.38,6.37,3.28,5302.38,948915.00,969058.00,956168.00,21.99,11.22,15.52,8407.74
Natl.Fertilizer,523630,NFL,INE870D01012,Fertilizers & Agrochemicals,Fertilizers,70.30,3446.81,929.19,169.95,78.81,31.75,3963.70,74.71,113.38,387.47,-39.44,151.54,-25.18,111.11,135.20,-35.81,0.00,9.46,8158.51,20.63,22480.40,23.27,27.34,113.38,364.31,9.09,7.61,137.75,2.52,2.49,-1341.75,2590.02,78.90,347.00,2.26,37.27,32.78,7.17,59.05,2350.40,495.56,7449.92,6.34,1.21,4500.39,284253.00,287339.00,310847.00,0.54,4.92,19.81,59.05
Nava,513023,NAVA,INE725A01030,Power,Power Generation,556.75,15758.75,1881.65,739.40,587.17,24.70,2226.41,50.03,277.61,-9.95,308.28,127.41,144.31,293.96,325.71,177.50,0.00,20.81,1042.10,8.13,4309.50,8.98,1.56,332.82,757.10,12.80,9.33,-27.55,27.50,0.67,2312.33,2157.05,587.48,398.11,8.65,42.63,1044.81,13.86,2114.85,8716.98,1408.48,4382.24,8.53,1.80,1211.80,61856.00,56461.00,61599.00,10.22,0.56,39.18,2114.85
Navin Fluo.Intl.,532504,NAVINFLUOR,INE048G01026,Chemicals & Petrochemicals,Specialty Chemicals,8256.00,42338.20,1127.82,8775.50,6691.11,5.92,1271.75,27.08,243.31,107.67,117.16,202.29,14.43,281.86,185.40,148.37,0.00,53.24,1075.40,41.79,3633.58,42.43,44.07,243.31,795.30,20.96,19.64,124.32,23.28,7.61,893.57,570.81,6675.38,361.05,54.94,58.62,40.52,3.43,96.87,3964.33,1229.03,1561.68,33.00,10.65,1045.08,138594.00,143987.00,138398.00,23.73,28.46,20.73,96.87
Navneet Educat.,508989,NAVNETEDUL,INE060A01024,Household Products,Stationary,133.79,2969.15,298.00,193.60,142.87,20.60,108.00,63.29,130.84,-16.66,157.00,26.68,261.54,6.71,188.00,-15.00,0.00,23.73,241.52,-2.22,1715.00,-3.76,-0.76,141.00,125.13,10.23,8.03,-37.89,16.60,1.59,307.00,274.43,142.96,25.88,0.30,42.62,41.97,7.63,67.00,1998.00,975.00,1108.00,11.32,1.45,788.00,39641.00,39807.00,45584.00,3.20,13.57,19.94,67.00
Nazara Technolo.,543280,NAZARA,INE418L01047,Entertainment,Digital Entertainment,357.50,13665.26,1214.13,419.51,288.29,2.05,214.93,33.98,-79.92,-249.49,53.46,46.96,-248.06,-118.84,8.84,-33.93,89.61,,480.04,-8.82,1758.98,-6.07,-14.03,-82.47,-207.22,27.23,30.49,-267.34,-19.23,14.57,148.63,65.50,287.60,-55.31,-3.00,73.61,458.17,0.16,255.12,3399.39,2063.70,1238.39,-1002.58,3.81,428.77,100544.00,100165.00,119223.00,15.51,2.47,48.04,255.12
NBCC,534309,NBCC,INE095N01031,Construction,Civil Construction,88.25,23797.48,924.26,139.83,98.99,29.96,0.26,61.75,154.83,17.18,132.13,241.39,-37.67,148.33,197.22,156.69,0.00,34.77,2938.92,0.86,12755.65,3.79,-5.51,158.01,684.36,30.95,24.08,7.53,6.99,11.95,439.46,657.19,99.09,152.01,0.54,31.89,5715.84,7.81,6515.72,2747.26,19.41,15226.44,18.08,7.90,2259.53,1226689.00,1277277.00,1391782.00,4.77,11.28,22.20,6515.72
NCC,500294,NCC,INE868B01028,Construction,Civil Construction,140.07,8820.79,1964.22,364.50,160.43,37.05,3457.00,23.09,216.40,12.63,192.14,206.02,5.60,167.50,135.22,167.33,3.80,12.21,4681.40,3.05,21455.84,-1.81,12.22,228.90,722.28,16.80,9.19,-9.95,3.94,0.85,-458.51,741.70,160.64,420.76,2.52,43.64,1581.00,0.60,1288.73,7743.38,153.30,22241.34,5.34,1.12,5811.83,543274.00,557418.00,557585.00,11.29,17.88,47.75,1288.73
NDR INVIT Trust,,NDRINVIT,INE0Q7Q23015,Commercial Services & Supplies,Diversified Commercial Services,142.50,6527.06,366.65,146.90,121.76,3.00,2152.51,,36.16,-5.44,38.24,-4.97,538.30,44.26,33.27,36.60,14.90,65.56,128.24,23.77,442.70,26.31,22.12,36.00,99.56,5.08,2.47,-22.78,29.03,2.76,531.03,293.61,121.55,113.16,0.97,55.84,63.75,3.06,436.35,-141.23,11.45,589.25,21.00,1.49,124.02,,,,,,,436.35
