TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-19,2026-08-19,CM,BSE,STK,500185,INE549A01026,HCC,A,,,,,HINDUSTAN CONSTRUCTION CO.LTD.,20.03,20.22,19.73,19.84,19.84,20.05,,19.83,,,1073891,21383831.00,1874,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500186,INE345A01011,HINDOILEXP,B,,,,,HINDUSTAN OIL EXPLORATION CO.L,156.85,157.75,153.60,153.90,153.90,156.55,,153.72,,,23080,3586850.00,317,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500187,INE415A01038,AGI,B,,,,,AGI GREENPAC LIMITED,711.00,716.10,704.80,705.60,705.45,711.75,,706.19,,,3630,2571685.00,267,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500188,INE267A01025,HINDZINC,A,,,,,HINDUSTAN ZINC LTD.,550.00,562.00,548.75,554.00,554.00,558.20,,556.37,,,224271,124263564.00,5916,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500189,INE353A01023,NDLVENTURE,B,,,,,NDL Ventures Limited,117.00,119.40,115.75,116.50,117.60,117.00,,116.09,,,539,62985.00,72,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500191,INE262A01018,HMT,Z,,,,,HMT LTD.,61.80,61.80,61.46,61.80,61.80,60.65,,61.37,,,1174,72430.00,23,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500192,INE962B01011,PRAGBOS,X,,,,,PRAG BOSIMI SYNTHETICS LTD.,2.10,2.10,1.73,1.93,1.94,1.97,,1.93,,,19486,35610.00,91,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500193,INE102A01024,HLVLTD,B,,,,,HLV LIMITED,6.68,6.74,6.61,6.65,6.70,6.67,,6.63,,,6730,44896.00,59,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500199,INE204A01010,IGPL,B,,,,,I G PETROCHEMICALS LTD.,482.10,499.40,473.95,476.45,475.85,482.10,,476.40,,,3353,1628124.00,262,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500201,INE560A01023,INDIAGLYCO,A,,,,,INDIA GLYCOLS LTD.,1152.40,1152.40,1095.80,1105.85,1103.00,1138.60,,1106.29,,,8966,9970226.00,540,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500202,INE333C01013,INDLEASE,X,,,,,INDIA LEASE DEVELOPMENT LTD.,8.00,8.00,8.00,8.00,8.00,7.65,,8.00,,,30,240.00,1,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500206,INE680B01019,MARGOFIN,X,,,,,MARGO FINANCE LIMITED,65.85,68.75,65.20,65.87,65.87,70.01,,65.87,,,4753,313756.00,65,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500207,INE156A01020,INDORAMA,B,,,,,INDO RAMA SYNTHETICS (INDIA) L,56.05,56.66,55.45,56.11,56.50,56.86,,56.27,,,5688,319278.00,110,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500209,INE009A01021,INFY,A,,,,,INFOSYS LTD.,1124.00,1135.00,1114.00,1117.05,1117.05,1115.00,,1119.77,,,409627,459393033.00,10311,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500210,INE177A01018,INGERRAND,B,,,,,INGERSOLL-RAND (INDIA) LTD.,4720.00,4750.00,4625.55,4634.50,4650.00,4694.25,,4641.18,,,2433,11422132.00,470,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500213,INE262B01016,ITHL,X,,,,,INTERNATIONAL TRAVEL HOUSE LTD,301.30,310.05,300.00,302.30,302.30,306.35,,302.30,,,4777,1461372.00,87,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500214,INE570A01022,IONEXCHANG,A,,,,,ION EXCHANGE (INDIA) LTD.,373.50,374.65,364.05,372.60,374.65,370.45,,372.92,,,17254,6373831.00,611,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500215,INE209A01019,SUNDROP,B,,,,,SUNDROP BRANDS LIMITED,656.00,656.00,648.40,650.00,648.40,649.00,,649.96,,,341,221796.00,68,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500219,INE175A01038,JISLJALEQS,A,,,,,JAIN IRRIGATION SYSTEMS LTD.,27.38,28.50,27.38,28.01,28.01,27.60,,28.05,,,79824,2242195.00,559,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500220,INE711C01028,JASCH,XT,,,,,JASCH INDUSTRIES LTD.,309.00,309.00,290.00,305.00,305.00,297.00,,305.00,,,2391,711306.00,21,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500227,INE197D01010,JINDALPOLY,B,,,,,JINDAL POLY FILMS LIMITED,646.65,646.95,637.00,639.20,637.00,645.75,,638.36,,,209,134089.00,27,F1,1,,,,,
